created_at,entry_id,field1/irr,field2,field3/ldr,field4,field5,Weather
2025-05-18T13:36:47+08:00,1,29.14,0.62,4095,4.7,1,Rain Imminent
2025-05-18T13:37:07+08:00,2,29.74,0.63,4095,0.03,1,Rain Imminent
2025-05-18T13:37:26+08:00,3,30.06,0.63,4062,4.85,1,Rain Imminent
2025-05-18T13:37:47+08:00,4,29.22,0.63,4095,-0.04,1,Rain Imminent
2025-05-18T13:38:08+08:00,5,29.02,0.62,4095,-0.01,1,Rain Imminent
2025-05-18T13:38:29+08:00,6,29.32,0.63,4095,0.01,1,Rain Imminent
2025-05-18T13:38:49+08:00,7,29.64,0.63,4095,0.02,1,Rain Imminent
2025-05-18T13:39:10+08:00,8,29.32,0.63,4095,-0.02,1,Rain Imminent
2025-05-18T13:39:31+08:00,9,29.55,0.63,4062,0.01,1,Rain Imminent
2025-05-18T13:39:52+08:00,10,29.09,0.62,4095,-0.02,1,Rain Imminent
2025-05-18T13:40:13+08:00,11,29.44,0.63,4095,0.02,1,Rain Imminent
2025-05-18T13:40:33+08:00,12,29.17,0.62,4095,-0.01,1,Rain Imminent
2025-05-18T13:40:54+08:00,13,29.79,0.63,4095,0.03,1,Rain Imminent
2025-05-18T13:41:15+08:00,14,29.37,0.63,4095,-0.02,1,Rain Imminent
2025-05-18T13:41:36+08:00,15,29.02,0.62,4095,-0.02,1,Rain Imminent
2025-05-18T13:41:57+08:00,16,29.44,0.63,4095,0.02,1,Rain Imminent
2025-05-18T13:42:18+08:00,17,28.57,0.62,4095,-0.04,1,Rain Imminent
2025-05-18T13:42:38+08:00,18,29.12,0.62,4022,0.03,1,Rain Imminent
2025-05-18T13:42:59+08:00,19,29.47,0.63,4095,0.02,1,Rain Imminent
2025-05-18T13:43:20+08:00,20,29.51,0.63,4095,0,1,Rain Imminent
2025-05-18T13:43:41+08:00,21,29.26,0.63,4095,-0.01,1,Rain Imminent
2025-05-18T13:44:02+08:00,22,29.06,0.62,4095,-0.01,1,Rain Imminent
2025-05-18T13:44:22+08:00,23,31.35,0.65,4095,0.11,1,Rain Imminent
2025-05-18T13:44:43+08:00,24,29.23,0.63,4095,-0.1,1,Rain Imminent
2025-05-18T13:45:04+08:00,25,29.38,0.63,4095,0.01,1,Rain Imminent
2025-05-18T13:45:25+08:00,26,29.3,0.63,4095,0,1,Rain Imminent
2025-05-18T13:45:45+08:00,27,29.17,0.62,4095,-0.01,1,Rain Imminent
2025-05-18T13:46:06+08:00,28,29.06,0.62,4093,-0.01,1,Rain Imminent
2025-05-18T13:46:27+08:00,29,29.33,0.63,4095,0.01,1,Rain Imminent
2025-05-18T13:46:48+08:00,30,29.29,0.63,4095,0,1,Rain Imminent
2025-05-18T13:47:09+08:00,31,29.32,0.63,4095,0,1,Rain Imminent
2025-05-18T13:47:29+08:00,32,29.02,0.62,4095,-0.01,1,Rain Imminent
2025-05-18T13:47:50+08:00,33,29.28,0.63,4095,0.01,1,Rain Imminent
2025-05-18T13:48:11+08:00,34,29.58,0.63,4095,0.01,1,Rain Imminent
2025-05-18T13:48:32+08:00,35,29.41,0.63,4095,-0.01,1,Rain Imminent
2025-05-18T13:48:53+08:00,36,28.96,0.62,4095,-0.02,1,Rain Imminent
2025-05-18T13:49:13+08:00,37,29.3,0.63,4095,0.02,1,Rain Imminent
2025-05-18T13:49:34+08:00,38,28.86,0.62,4095,-0.02,1,Rain Imminent
2025-05-18T13:49:55+08:00,39,29.19,0.63,4095,0.02,1,Rain Imminent
2025-05-18T13:50:16+08:00,40,30.62,0.64,4095,0.07,1,Rain Imminent
2025-05-18T13:50:36+08:00,41,28.99,0.62,4095,-0.08,1,Rain Imminent
2025-05-18T13:50:57+08:00,42,29.24,0.63,4095,0.01,1,Rain Imminent
2025-05-18T13:51:18+08:00,43,29.31,0.63,4095,0,1,Rain Imminent
2025-05-18T13:51:39+08:00,44,29.42,0.63,4095,0.01,1,Rain Imminent
2025-05-18T13:51:59+08:00,45,29.35,0.63,4095,0,1,Rain Imminent
2025-05-18T13:52:20+08:00,46,29.07,0.62,4089,-0.01,1,Rain Imminent
2025-05-18T13:52:41+08:00,47,28.82,0.62,4095,-0.01,1,Rain Imminent
2025-05-18T13:53:02+08:00,48,28.76,0.62,4095,0,1,Rain Imminent
2025-05-18T13:53:23+08:00,49,29.25,0.63,4095,0.02,1,Rain Imminent
2025-05-18T13:53:44+08:00,50,29.37,0.63,4095,0.01,1,Rain Imminent
2025-05-18T13:54:04+08:00,51,29.4,0.63,4095,0,1,Rain Imminent
2025-05-18T13:54:25+08:00,52,29.25,0.63,4095,-0.01,1,Rain Imminent
2025-05-18T13:54:46+08:00,53,29.31,0.63,4095,0,1,Rain Imminent
2025-05-18T13:55:07+08:00,54,29.41,0.63,4095,0,1,Rain Imminent
2025-05-18T13:55:27+08:00,55,29.1,0.62,4095,-0.01,1,Rain Imminent
2025-05-18T13:55:48+08:00,56,29.52,0.63,4095,0.02,1,Rain Imminent
2025-05-18T13:56:09+08:00,57,29.24,0.63,4095,-0.01,1,Rain Imminent
2025-05-18T13:56:30+08:00,58,29.38,0.63,4095,0.01,1,Rain Imminent
2025-05-18T13:56:51+08:00,59,29.29,0.63,4095,0,1,Rain Imminent
2025-05-18T13:57:12+08:00,60,28.78,0.62,4095,-0.02,1,Rain Imminent
2025-05-18T13:57:33+08:00,61,29.31,0.63,4095,0.02,1,Rain Imminent
2025-05-18T13:57:53+08:00,62,29.46,0.63,4095,0.01,1,Rain Imminent
2025-05-18T13:58:14+08:00,63,29.44,0.63,4095,0,1,Rain Imminent
2025-05-18T13:58:35+08:00,64,29.35,0.63,4095,0,1,Rain Imminent
2025-05-18T13:58:56+08:00,65,29.38,0.63,4095,0,1,Rain Imminent
2025-05-18T13:59:17+08:00,66,28.88,0.62,4095,-0.02,1,Rain Imminent
2025-05-18T13:59:37+08:00,67,29.27,0.63,4095,0.02,1,Rain Imminent
2025-05-18T13:59:58+08:00,68,29,0.62,4095,-0.01,1,Rain Imminent
2025-05-18T14:00:19+08:00,69,29.63,0.63,4095,0.03,1,Rain Imminent
2025-05-18T14:00:40+08:00,70,29.25,0.63,4095,-0.02,1,Rain Imminent
2025-05-18T14:01:00+08:00,71,29.33,0.63,4095,0,1,Rain Imminent
2025-05-18T14:01:21+08:00,72,29.39,0.63,4084,0,1,Rain Imminent
2025-05-18T14:01:42+08:00,73,28.85,0.62,4095,-0.03,1,Rain Imminent
2025-05-18T14:02:03+08:00,74,29.61,0.63,4095,0.04,1,Rain Imminent
2025-05-18T14:02:24+08:00,75,29.24,0.63,4095,-0.02,1,Rain Imminent
2025-05-18T14:02:45+08:00,76,29.18,0.63,4095,0,1,Rain Imminent
2025-05-18T14:03:05+08:00,77,29.41,0.63,4095,0.01,1,Rain Imminent
2025-05-18T14:03:26+08:00,78,28.78,0.62,4095,-0.03,1,Rain Imminent
2025-05-18T14:03:47+08:00,79,28.71,0.62,4095,0,1,Rain Imminent
2025-05-18T14:04:08+08:00,80,29.17,0.62,4095,0.02,1,Rain Imminent
2025-05-18T14:04:28+08:00,81,28.93,0.62,4095,-0.01,1,Rain Imminent
2025-05-18T14:04:49+08:00,82,29.19,0.63,4095,0.01,1,Rain Imminent
2025-05-18T14:05:10+08:00,83,29.41,0.63,4095,0.01,1,Rain Imminent
2025-05-18T14:05:31+08:00,84,29.53,0.63,4095,0.01,1,Rain Imminent
2025-05-18T14:05:52+08:00,85,29.08,0.62,4035,-0.02,1,Rain Imminent
2025-05-18T14:06:12+08:00,86,29.14,0.62,4095,0,1,Rain Imminent
2025-05-18T14:06:33+08:00,87,29.32,0.63,4095,0.01,1,Rain Imminent
2025-05-18T14:06:54+08:00,88,29.42,0.63,4095,0,1,Rain Imminent
2025-05-18T14:07:15+08:00,89,29.19,0.63,4095,-0.01,1,Rain Imminent
2025-05-18T14:07:36+08:00,90,29.25,0.63,4095,0,1,Rain Imminent
2025-05-18T14:07:56+08:00,91,29.35,0.63,4095,0.01,1,Rain Imminent
